Name,Award,Field,State/Country,Year
Dr. Venkatarama Raghavan,Padma Bhushan,Literature and Education,Tamil Nadu,1962
Shri Asaf Ali Asghar Fyzee,Padma Bhushan,Literature and Education,Jammu & Kashmir,1962
Shri Bade Ghulam Ali Khan,Padma Bhushan,Art,Maharashtra,1962
Shri Gyanesh Chandra Chatterji,Padma Bhushan,Literature and Education,Delhi,1962
Shri Jafar Ali Khan,Padma Bhushan,Literature and Education,Uttar Pradesh,1962
Shri Mohd. Khan Niaz Fatehpuri,Padma Bhushan,Literature and Education,Uttar Pradesh,1962
Shri Moturi Satyanarayana,Padma Bhushan,Public Affairs,Tamil Nadu,1962
Shri Narayan Sitaram Phadke,Padma Bhushan,Literature and Education,Maharashtra,1962
Shri Radhika Raman Prasad Sinha,Padma Bhushan,Literature and Education,Bihar,1962
Shri Sitaram Seksaria,Padma Bhushan,Social Work,Assam,1962
Shri Sudhindra Nath Mukerjee,Padma Bhushan,Public Affairs,West Bengal,1962
Shri Tarlok Singh,Padma Bhushan,Civil Service,Punjab,1962
Smt. Mithan J. Lam,Padma Bhushan,Public Affairs,Maharashtra,1962
Smt. Saundaram Ramachandran,Padma Bhushan,Social Work,Tamil Nadu,1962
Smt. Tarabai Modak,Padma Bhushan,Social Work,Maharashtra,1962
Dr. Bishnupada Mukerji,Padma Shri,Civil Service,West Bengal,1962
Dr. Krishnarao Shripat Mhaskar,Padma Shri,Medicine,Maharashtra,1962
Dr. Santosh Kumar Mukherji,Padma Shri,Medicine,West Bengal,1962
Maj. Gen. Sarda Nand Singh,Padma Shri,Civil Service,Punjab,1962
Mother Bojaxhiu Mary Teresa,Padma Shri,Social Work,West Bengal,1962
Shri Amalananda Ghosh,Padma Shri,Civil Service,West Bengal,1962
Shri Ashok Kumar Ganguly,Padma Shri,Art,Maharashtra,1962
Shri Challagalla Narasimham,Padma Shri,Civil Service,Andhra Pradesh,1962
Shri Channapatna Krishnappa Venkataramayya,Padma Shri,Literature and Education,Karnataka,1962
Shri Dula Bhaya Kag,Padma Shri,Literature and Education,Gujarat,1962
Shri Gostha Behari Paul,Padma Shri,Sports,West Bengal,1962
Shri Joseph  Durai Raj,Padma Shri,Civil Service,Delhi,1962
Shri N. G. Ramaswami Iyer,Padma Shri,Social Work,Tamil Nadu,1962
Shri Nari J. Contractor,Padma Shri,Sports,Maharashtra,1962
Shri Natthi Singh,Padma Shri,Science and Engineering,Uttar Pradesh,1962
Shri P.R. Umrigar,Padma Shri,Sports,Maharashtra,1962
Shri Ramanathan Krishnan,Padma Shri,Sports,Tamil Nadu,1962
Shri Santu Jouharmal Shahaney,Padma Shri,Civil Service,West Bengal,1962
Shri Shanti Kumar Tribhuvandas Raja,Padma Shri,Civil Service,Odisha,1962
Shri Shridher Sharma,Padma Shri,Medicine,Rajasthan,1962
Shri Sochi Raut Roy,Padma Shri,Literature and Education,Odisha,1962
Shri Sonam Gyatso,Padma Shri,Sports,Sikkim,1962
Shri Tarashankar Bandyopadhyay,Padma Shri,Literature and Education,West Bengal,1962
Shri V. Ramchandra Vajramushti,Padma Shri,Civil Service,Andhra Pradesh,1962
Shri Vellore Ponnurangam Appadurai,Padma Shri,Civil Service,Tamil Nadu,1962
Dr. Pandurang Vaman Kane,Bharat Ratna,Social Work,Maharashtra,1963
Dr. Zakir Husain,Bharat Ratna,Public Affairs,Telangana,1963
